"Story","Title","Result","Date","Stability","Duration (s)"
"Product management","Get Brands","SUCCESS","2023-07-22T00:08:40.9200592+05:30[Asia/Calcutta]","0.0","0.98"
"Product management","create Brands","SUCCESS","2023-07-22T00:08:41.9065647+05:30[Asia/Calcutta]","0.0","0.98"
"Product management","search product","SUCCESS","2023-07-22T00:08:42.894219+05:30[Asia/Calcutta]","0.0","1.0"
"Product management","search product without param","SUCCESS","2023-07-22T00:08:43.9003684+05:30[Asia/Calcutta]","0.0","1.0"
"Product management","login with valid credentials","SUCCESS","2023-07-22T00:08:44.9029806+05:30[Asia/Calcutta]","0.0","0.97"
"Product management","login without valid credentials","SUCCESS","2023-07-22T00:08:45.8764161+05:30[Asia/Calcutta]","0.0","0.99"
"Product management","verify delete login","SUCCESS","2023-07-22T00:08:46.871805+05:30[Asia/Calcutta]","0.0","0.96"
"Product management","login with invalid credentials","SUCCESS","2023-07-22T00:08:47.8358568+05:30[Asia/Calcutta]","0.0","0.97"
"Product management","create user","SUCCESS","2023-07-22T00:08:48.8083427+05:30[Asia/Calcutta]","0.0","1.01"
"Product management","update user","SUCCESS","2023-07-22T00:08:49.8236769+05:30[Asia/Calcutta]","0.0","0.94"
"Product management","Delete user","SUCCESS","2023-07-22T00:08:50.7718191+05:30[Asia/Calcutta]","0.0","0.99"
"Product management","get user account details","SUCCESS","2023-07-22T00:08:51.7658189+05:30[Asia/Calcutta]","0.0","0.97"
